Date,Close
2025-01-01,150.25
2025-01-02,151.80
2025-01-03,149.50
2025-01-04,152.10
2025-01-05,153.25
2025-01-06,151.90
2025-01-07,154.40
2025-01-08,155.10
2025-01-09,153.80
2025-01-10,156.20
2025-01-11,157.00
2025-01-12,158.50
2025-01-13,156.90
2025-01-14,155.60
2025-01-15,157.80
2025-01-16,159.20
2025-01-17,160.10
2025-01-18,158.40
2025-01-19,161.30
2025-01-20,162.10
2025-01-21,160.50
2025-01-22,159.80
2025-01-23,161.70
2025-01-24,163.40
2025-01-25,162.00
2025-01-26,164.80
2025-01-27,165.50
2025-01-28,163.90
2025-01-29,166.20
2025-01-30,167.10
2025-01-31,168.00
2025-02-01,166.80
2025-02-02,169.20
2025-02-03,170.10
2025-02-04,168.60
2025-02-05,171.40
2025-02-06,172.20
2025-02-07,170.80
2025-02-08,173.50
2025-02-09,174.10
2025-02-10,175.00
2025-02-11,172.90
2025-02-12,171.20
2025-02-13,173.80
2025-02-14,175.60
2025-02-15,174.30
2025-02-16,176.90
2025-02-17,178.10
2025-02-18,177.40
2025-02-19,179.20
2025-02-20,180.50
